#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
lava                                              (minecraft:lava)                                                                 = Lava
iron                                              (tconstruct:molten_iron)                                                         = Molten Iron
gold                                              (tconstruct:molten_gold)                                                         = Molten Gold
pigiron                                           (tconstruct:molten_pigiron)                                                      = Molten Pigiron
cobalt                                            (tconstruct:molten_cobalt)                                                       = Molten Cobalt
ardite                                            (tconstruct:molten_ardite)                                                       = Molten Ardite
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = Molten Manyullyn
knightslime                                       (tconstruct:molten_knightslime)                                                  = Molten Knightslime
alubrass                                          (tconstruct:molten_alubrass)                                                     = Molten Aluminum Brass
brass                                             (tconstruct:molten_brass)                                                        = Molten Brass
copper                                            (tconstruct:molten_copper)                                                       = Molten Copper
tin                                               (tconstruct:molten_tin)                                                          = Molten Tin
bronze                                            (tconstruct:molten_bronze)                                                       = Molten Bronze
zinc                                              (tconstruct:molten_zinc)                                                         = Molten Zinc
lead                                              (tconstruct:molten_lead)                                                         = Molten Lead
nickel                                            (tconstruct:molten_nickel)                                                       = Molten Nickel
silver                                            (tconstruct:molten_silver)                                                       = Molten Silver
electrum                                          (tconstruct:molten_electrum)                                                     = Molten Electrum
steel                                             (tconstruct:molten_steel)                                                        = Molten Steel
aluminum                                          (tconstruct:molten_aluminum)                                                     = Molten Aluminum
imagproj                                          (academy:imag_phase)                                                             = fluid.imagproj
steam                                             ([no block])                                                                     = Steam
creosote                                          ([no block])                                                                     = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          ([no block])                                                                     = Molten Platinum
iridium                                           ([no block])                                                                     = Molten Iridium
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        ([no block])                                                                     = Molten Constantan
signalum                                          ([no block])                                                                     = Molten Signalum
lumium                                            ([no block])                                                                     = Molten Lumium
enderium                                          ([no block])                                                                     = Molten Enderium
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = Molten Electrical Steel
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = Molten Energetic Alloy
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = Molten Vibrant Alloy
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = Molten Redstone Alloy
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = Molten Conductive Iron
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = Molten Pulsating Iron
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = Molten Dark Steel
soularium                                         (enderio:block_fluid_soularium)                                                  = Molten Soularium
end_steel                                         (enderio:block_fluid_end_steel)                                                  = Molten End Steel
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = Molten Iron Alloy
fierymetal                                        (twilightforest:molten_fierymetal)                                               = Molten Fiery
knightmetal                                       (twilightforest:molten_knightmetal)                                              = Molten Knightmetal
fiery_essence                                     (twilightforest:fiery_essence)                                                   = Fiery Essence
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
purified_water                                    (toughasnails:purified_water)                                                    = Purified Water
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = Ethanol
biomass                                           (forestry:fluid.biomass)                                                         = Biomass
glass                                             (forestry:fluid.glass)                                                           = Liquid Glass
for.honey                                         (forestry:fluid.for.honey)                                                       = Honey
ice                                               (forestry:fluid.ice)                                                             = Crushed Ice
juice                                             (forestry:fluid.juice)                                                           = Fruit Juice
milk                                              (forestry:fluid.milk)                                                            = Milk
seed.oil                                          (forestry:fluid.seed.oil)                                                        = Seed Oil
short.mead                                        (forestry:fluid.short.mead)                                                      = Short Mead
witchwater                                        (exnihilocreatio:witchwater)                                                     = Witchwater
fluidedmana                                       (extrabotany:fluidedmana)                                                        = Fluided Mana
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
essence                                           (industrialforegoing:essence)                                                    = Essence
meat                                              (industrialforegoing:meat)                                                       = Liquid Meat
latex                                             (industrialforegoing:latex)                                                      = Latex
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
liquid_nitrogen                                   (powersuits:liquid_nitrogen)                                                     = Liquid Nitrogen
grimm                                             (rwbym:fluidgrimm)                                                               = Grimm
aeonsteel                                         (tinkerscompendium:tinkerscompendium.molten_aeonsteel)                           = Molten Aeonsteel
queensgold                                        (tinkerscompendium:tinkerscompendium.molten_queensgold)                          = Molten Queensgold
dogbearium                                        (tinkerscompendium:tinkerscompendium.molten_dogbearium)                          = Molten Dogbearium
sinisterium                                       (tinkerscompendium:tinkerscompendium.molten_sinisterium)                         = Molten Sinisterium
nihilite                                          (tinkerscompendium:tinkerscompendium.molten_nihilite)                            = Molten Nihilite
orichalcum                                        (tinkerscompendium:tinkerscompendium.molten_orichalcum)                          = Molten Orichalcum
pandorium                                         (tinkerscompendium:tinkerscompendium.molten_pandorium)                           = Molten Pandorium
rosegold                                          (tinkerscompendium:tinkerscompendium.molten_rosegold)                            = Molten Rosegold
valyriansteel                                     (tinkerscompendium:tinkerscompendium.molten_valyriansteel)                       = Molten Valyriansteel
froststeel                                        (tinkerscompendium:tinkerscompendium.molten_froststeel)                          = Molten Froststeel
mithril                                           (tinkerscompendium:tinkerscompendium.molten_mithril)                             = fluid.tinkerscompendium.mithril.name
vasholine                                         (tp:vasholine)                                                                   = Wub Wub Juice
matter_plasma                                     (matteroverdrive:matter_plasma)                                                  = Matter Plasma
molten_tritanium                                  (matteroverdrive:molten_tritanium)                                               = Molten Tritanium
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = Nutrient Distillation
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = Dew of the Void
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = Vapor of Levity
hootch                                            (enderio:block_fluid_hootch)                                                     = Hootch
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
fire_water                                        (enderio:block_fluid_fire_water)                                                 = Fire Water
xpjuice                                           ([no block])                                                                     = Liquid XP
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = Liquid Sunshine
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = Cloud Seed
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Concentrated Cloud Seed
stone                                             (tconstruct:molten_stone)                                                        = Seared Stone
obsidian                                          (tconstruct:molten_obsidian)                                                     = Molten Obsidian
clay                                              (tconstruct:molten_clay)                                                         = Molten Clay
dirt                                              (tconstruct:molten_dirt)                                                         = Liquid Dirt
emerald                                           (tconstruct:molten_emerald)                                                      = Molten Emerald
blueslime                                         (tconstruct:blueslime)                                                           = Liquid Blue Slime
purpleslime                                       (tconstruct:purpleslime)                                                         = Liquid Purple Slime
yellorium                                         (bigreactors:yellorium)                                                          = Fluid Yellorium
cyanite                                           (bigreactors:cyanite)                                                            = Fluid Cyanite
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
chorusjuice                                       (tconstruct:chorusjuice)                                                         = Chorus Juice
vile                                              (tconstruct:vile)                                                                = Vile Liquid
vibrant                                           (tconstruct:vibrant)                                                             = Vibrant Liquid
slush                                             (tconstruct:slush)                                                               = Liquid Slush
quartz                                            (tconstruct:molten_quartz)                                                       = Molten Nether Quartz
dragonsbreath                                     (tconstruct:molten_dragonsbreath)                                                = liquid Dragons Breath
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = Liquid Starlight
